8742265-G,45,1,,,,43.11,-1.89,,,
8751335-G,53,1,,,,49.27,-3.73,,,
8754629-G,7,1,,,,15.89,8.89,,,
8763313-P,0,1,,,,2.58,2.58,,,
8780527-P,0,1,,,,0,0,,,
8790850-G,570,1,,,,857.91,287.91,,,
8791159-G,0,1,,,,0,0,,,
8817514-P,714,1,,,,646.71,-67.29,,,
8818879-P,0,1,,,,3.18,3.18,,,
8837329-P,0,1,,,,0,0,,,
8879605-G,0,1,,,,1.99,1.99,,,
8899909-G,0,1,,,,3.97,3.97,,,
8900503-G,1082,1,,,,1045.66,-36.34,,,
8914941-P,0,1,,,,0,0,,,
8919968-G,6,1,,,,5.36,-0.64,,,
8922756-P,53,1,,,,61.59,8.59,,,
8926736-P,13,1,,,,12.52,-0.48,,,
8927988-P,0,1,,,,11.72,11.72,,,
8960916-P,439,1,,,,427.96,-11.04,,,
8983764-P,0,1,,,,1.39,1.39,,,
8997760-P,1413,1,,,,2519.68,1106.68,,,
8999288-G,518,1,,,,513.2,-4.8,,,
9048695-P,530,1,,,,525.12,-4.88,,,
9054073-G,369,,,,1,,,,,
9081894-P,77,1,,,,75.1,-1.9,,,
9089434-G,0,1,,,,0,0,,,
9100781-G,0,1,,,,1.99,1.99,,,
9221141-P,0,1,,,,0,0,,,
9243861-G,11,1,,,,45.3,34.3,,,
9247454-P,0,1,,,,0.4,0.4,,,
9263472-P,0,1,,,,31.39,31.39,,,
9294717-P,136,1,,,,123.18,-12.82,,,
9323697-G,71,1,,,,65.37,-5.63,,,
9351842-G,38,1,,,,37.15,-0.85,,,
9377462-G,0,1,,,,0,0,,,
9383237-G,20,1,,,,19.67,-0.33,,,
9393435-G,1176,1,,,,1133.28,-42.72,,,
9394234-G,0,1,,,,0,0,,,
9404915-G,83,1,,,,83.45,0.45,,,
9404926-P,93,1,,,,88.61,-4.39,,,
9405076-P,0,1,,,,0.79,0.79,,,
9405758-G,2,1,,,,4.37,2.37,,,
9407798-P,913,1,,,,977.52,64.52,,,
9408611-G,361,1,,,,281.73,-79.27,,,
9409078-P,32,1,,,,31.19,-0.81,,,
9409396-G,507,1,,,,497.3,-9.7,,,
9409738-P,0,1,,,,1.19,1.19,,,
9417952-G,8099,1,,,,7384.61,-714.39,,,
9436548-G,0,1,,,,0,0,,,
9436866-G,8,1,,,,6.95,-1.05,,,
9436888-G,146,1,,,,142.45,-3.55,,,
9440135-P,711,1,,,,685.65,-25.35,,,
9440168-G,554,1,,,,1511.97,957.97,,,
9441309-P,194,1,,,,183.18,-10.82,,,
9441354-P,1,1,,,,2.78,1.78,,,
9449132-G,0,1,,,,0,0,,,
9457765-P,0,1,,,,0,0,,,
9462231-G,72,1,,,,71.92,-0.08,,,
9462957-G,0,1,,,,155.17,155.17,,,
9465934-G,104,1,,,,107.29,3.29,,,
9473396-G,0,1,,,,2.78,2.78,,,
9496564-G,0,1,,,,0,0,,,
9500123-P,39,1,,,,35.56,-3.44,,,
9509153-G,0,1,,,,0,0,,,
9529026-G,0,1,,,,0.4,0.4,,,
9529968-G,0,,,,1,,,,,
9533760-P,0,1,,,,0.2,0.2,,,
9538709-G,844,1,,,,943.54,99.54,,,
9548554-G,62,1,,,,74.51,12.51,,,
9559959-P,0,1,,,,0,0,,,
9562894-P,9,1,,,,8.34,-0.66,,,
9603398-G,0,1,,,,1.19,1.19,,,
9629510-G,0,1,,,,0,0,,,
9636833-G,395,1,,,,2349.81,1954.81,,,
9653401-G,0,1,,,,0.2,0.2,,,
9665570-G,40,1,,,,39.54,-0.46,,,
9685409-G,0,1,,,,0,0,,,
9728545-G,47,1,,,,42.52,-4.48,,,
9744905-G,13,1,,,,13.11,0.11,,,
9805576-P,101,1,,,,119.01,18.01,,,
9806660-G,1100,1,,,,1062.95,-37.05,,,
9818557-P,0,1,,,,0,0,,,
9834564-P,4,1,,,,4.37,0.37,,,
9845163-G,3341,1,,,,3119.73,-221.27,,,
9865309-P,860,1,,,,785.19,-74.81,,,
9976049-G,243,1,,,,235.24,-7.76,,,
9997584-G,0,1,,,,2.38,2.38,,,
10013599-G,208,1,,,,367.36,159.36,,,
10015017-P,0,1,,,,18.48,18.48,,,
